review_dates,reviews,vader_score_review,vader_sentiment_review,source
2026-05-17,I think it was done very well about friendships and believing in your dream and a lot of luck. The world setting was good. I like the twist of the movie being a little animated with the settings and customs.,0.9281,Positive,Rotten Tomatoes
2026-05-14,"A lot of it has the vibe of a fanmade project. Some of the casting choices are good and some aren't, but the main issue is how a lot of the characters are out of... character. Some of the changes are interesting and some are unnecessary. An alright adaptation, but misses the mark in what makes One Piece what it is",0.6858,Positive,Rotten Tomatoes
2026-03-30,Los personajes y las adaptaciones estan muy bien hechas claro con un toque de la misma adaptacion que cambia alguna cosas como en todos los live action pero aun asi esta bien hecho.,0.0,Neutral,Rotten Tomatoes
2026-03-11,Perfection - I'm waiting for the next season (I've seen the anime and read the manga).,0.5719,Positive,Rotten Tomatoes
2026-02-26,pleasantly surprised with how well this turned out! loved every episode,0.8832,Positive,Rotten Tomatoes
2026-02-22,The plot was awful but the acting was good and I liked the characters.,0.7615,Positive,Rotten Tomatoes
2026-01-23,"I absolutely love that Mackenyu plays Zorro! The overall story stays true to the anime, though, of course, we can’t expect it to be identical. The CGI, special effects, costumes, and makeup are all top-notch. As for the characters, their performances are fantastic. I really can’t say much more—it’s been such an exciting ride! Now, I’m counting down the days until Season 2 arrives—please, come soon!",0.9621,Positive,Rotten Tomatoes
2025-01-19,"This live-action drama is absolutely phenomenal! The staging, combined with breathtaking CGI and stunning animation, creates a visually captivating experience. Each actor delivers a compelling performance, bringing their characters to life in a way that is both engaging and memorable. Mackenyu's portrayal stands out—his charisma and talent are simply unmatched! I'm completely hooked and eagerly anticipating Season 2. I hope it arrives soon—it's impossible to wait!",0.9592,Positive,Rotten Tomatoes
2025-01-06,I was excited for it but it was disappointing. Everyone did a great job except inkai. His acting is terrible and cringy. The CGI used for stretching scenes is really bad. From the source material they butchered the story lines.,-0.8068,Negative,Rotten Tomatoes
2024-12-05,"I hate a lot of things and the first season of this show surprised me so much with how well it's made. I'd definitely recommend it and truly hope it gets better in future seasons instead of most shows getting worse with every additional season, and getting rid of the writes and teams who worked to make the show good to begin with!",0.9007,Positive,Rotten Tomatoes
2024-11-20,"As a fan of Mr. Eiichiro Oda's work, it's a great adaptation! Both the world and the cast; it's a great achievement by the production team. This first season is a good start to open doors and invite a more diverse audience for both young people and adults who don't like watching cartoons. And I'm more than excited to see more of this adaptation. 👏",0.9419,Positive,Rotten Tomatoes
2024-11-07,One of the very rare series that I watched two times as it was so good! Take a chance on this! Please!,0.8367,Positive,Rotten Tomatoes
2024-10-21,Best thing ive seen on netflix full-stop. Captured the essence of one piece while adding it's own unique spin on cirtain elements and events.,0.6369,Positive,Rotten Tomatoes
2024-10-19,"I've been fan of one piece since the beginning, and it's actually quite nice to watch. Purists will say this is an ignominy, but when you take it as a simple show and don't expect it to be a copy of copy then it's nice to watch It's worth watching, even just for your knowledge.",0.8292,Positive,Rotten Tomatoes
2024-10-01,Lo hicieron con amor y respeto al manga.,0.6124,Positive,Rotten Tomatoes
2024-09-27,"Once upon a time I was one of the fierce enjoyers of the anime One Piece. I stopped watching the anime not because I didn't like it or it was boring...not at all! Watching the show made me wanna go back and rewatch the entire anime from scratch because of the nostalgia I felt with this live action. It is my sincere opinion that they managed to deliver a super accurate version of the OG and they magically nailed every little detail that makes One Piece a great story. From the cast to the cinematography, this show was one of the best adaptations I've ever seen. Of course there are always limitations from adapting an anime/cartoon into a live action, but honestly....I didn't even notice any. Thank you Netflix and thank you people behind this amazing show. THIS is GOOD entertainment, THIS is how FANTASTIC adaptations are made and THIS is RESPECTING a story of a life time that has and still is influencing so many people arround the world. Very well done!",0.9936,Positive,Rotten Tomatoes
2024-09-23,"Fairly true to the original material, capturing the essence and humor. Solid casting too. It's a good enough show to play in the background while working.",0.9022,Positive,Rotten Tomatoes
2024-09-19,Love the anime! The show captures the essence of adventure of the show can't wait for more information about season 2.,0.7777,Positive,Rotten Tomatoes
2024-09-08,"I've been a fan of One Piece since 2010 and to watch this thing was half sad/half painful . THE GOOD PARTS: The cast. Really like the actors. They're an awesome match. I've got suspicions about Zoro and Sanji at first, but the whole crew is so cute. Buggy and Koby are unbelievably real :) The visualisation is pretty good too. It was difficult to believe that it is possible to film such a crazy world as One Piece, but they've done it, and done it not bad. Respect to artists, animators and the whole art department. BAD SIDES. The script, the whole writing of the dialogues and story. It was just painful and sad to watch how such a great story and characters were twisted most of the time to 180 degree. And there's no point in saying 'it's not an anime but a series, they had to cut the narration '. Because half of the first season is a stupid story of the relationship between grandfather/grandson and the whole story about Coby and talks about pirates can be good/evil. Garp must not appear for at least three seasons! And here he suddenly became the main star of the show. Delete this out-of-blue-trash and you have a lot of time for the real story. They created a random non-existent story and deleted, killed characters that never were killed(Merry) and completely ignored important characters like Hachi. They wasted money on building Garp’s ship (that never existed here) but didn't bother to waste money on octopus that will play the main role in the future plot-twist. It was just so out of line and completely opposite of the real One Piece. Luffy making plans the night before and sitting near the bad of wounded Zoro - 180° of what he did in the Real One Piece; pretending that he is not a pirate(!), but a bounty hunter; Zoro who is not loyal to his captain; a fearless karate warrior Nami; quiet cute Ussop; Sanji who for a request of a girl said 'NO'!? It was just painful. Really. I love to watch actors on Instagram, but Netflix's policies and religions made a trash from the most awesome story in the world. In fact it's kinda incredible how they can do it that well even with the best story.... CONCLUSION: Don't waste your time and just watch/read the original",0.979,Positive,Rotten Tomatoes
2024-08-24,"Pas parfait, mais je recommande, car c'est une autre vision de l'œuvre avec un côté plus mature (peut-être trop avec dark Sasuke Zoro) J'étais dubitatif sur les pouvoirs ect mais ça, c'est amélioré avec le temps. À voir comment ça continue.",0.5859,Positive,Rotten Tomatoes
2024-07-22,Horrible casting....,-0.5423,Negative,Rotten Tomatoes
2024-07-19,This live action adaptation absolutely crushes it. It stays true to the character storeis while also walking the fine line of keeping the goofy animated abilities seems possible to believe. Couldn't be happier and exited for season two to continue to stay true to the Manga.,0.3466,Positive,Rotten Tomatoes
2024-07-12,"a great recreation of one piece. I always get worried with live action shows and movies, however this one stayed true to the story and the heart of what one piece is all about.",0.872,Positive,Rotten Tomatoes
2024-07-10,"For such a small budget, it is very well made. The best character (in my opinion) is Sanji and Zoro.",0.7645,Positive,Rotten Tomatoes
2024-07-09,"It’s well done, from what I remember from reading it back in the day. The cast was well chosen I believe and they played there parts well.",0.7717,Positive,Rotten Tomatoes
2024-06-26,"Come on nakamas!, I love It.",0.6696,Positive,Rotten Tomatoes
2024-06-24,This show is done so well. Everything about it is enjoyable. The cast is perfect and the sets are fantastic. It's acting and directing is so dang good. I love One Piece!,0.9666,Positive,Rotten Tomatoes
2024-06-22,"Jamas habia visto nada del mundo de Onepiece y terminé amandolo, 100000% recomendado para alguien que no era fan, sin duda alguna",-0.7758,Negative,Rotten Tomatoes
2024-06-22,"Excelente adaptación a la versión original, con pequeñas modificaciones que enriquecen la historia, muy buena ejecución del entorno y bien posicionados los personajes, Excelente obra.",0.3182,Positive,Rotten Tomatoes
2024-06-20,"I have seen One Piece (live action) twice and I was never bored either time. The actors/actresses play their roles outstandingly and I think Eiichiro Oda did a great job making One Piece come to life. Although thought there were a few details that were left out, like Usopp's long nose or Luffy's sandals, I think they couldn't have done better. The scenery was beautifully done, and the special effects were everything. I would recommend One Piece to anyone, live action or not.",0.946,Positive,Rotten Tomatoes
2024-06-20,I really enjoyed this series and watched it in 1-2 days. But I have to say this was the first time I watched One Piece so I can't tell you anything about how good it was realised from the anime. I wish there wehre more episodes ;D,0.9248,Positive,Rotten Tomatoes
2024-06-19,"I had my doubts about this live-action adaptation of the No. 1 manga/anime nowadays, but I need to say that this adaptation has been made by people who understand what One Piece means to the fans. Even for those not knowing about it, it might be a nice-to-watch show (although it might make a bit of nonsense for them). I am eager to see what the second season will bring to the audience.",-0.2263,Negative,Rotten Tomatoes
2024-06-18,Amazing! I really enjoyed it and it's my favorite live action!,0.8996,Positive,Rotten Tomatoes
2024-06-15,"Loved it. Great cast, in a fantastic world. Can't wait for season 2. Highly recommended.",0.9286,Positive,Rotten Tomatoes
2024-06-08,"Very entertaining. A solid first season , Great cast playing great characters. Highly recommended.",0.9446,Positive,Rotten Tomatoes
2024-06-07,"Great show! Fantastic writing, acting, and effects.",0.8398,Positive,Rotten Tomatoes
2024-06-06,"I have not watched the animie series, so I may not be the best person to write this review. However, as a new comer.... I loved it :)",0.5472,Positive,Rotten Tomatoes
2024-06-04,I want a season 2 and 3 maybe even go to 5,0.0772,Positive,Rotten Tomatoes
2024-06-04,Brilliant !!! Bring on season. 2,0.6884,Positive,Rotten Tomatoes
2024-05-16,"Nice casting, nice adaptation. 4.5/5 !",0.7088,Positive,Rotten Tomatoes
2024-05-06,that was a surprise. i started seeing it with thought of other anime to live movies in mind (like deth note 😒) and this one blow my mind away. worth watching.,0.6705,Positive,Rotten Tomatoes
2024-04-30,"I am a big fan of the anime and the manga, and to me, the series was so rushed. Eight episodes are not enough at all to introduce the characters, show how they created a bond, and adapt the whole East Blue Saga. I mean, I don't care about how they changed the storyline if the nature of the characters is the same. Contrary, it could be refreshing if you know every little detail even in your sleep, but they should have left some screen time for proper development. My problem is that the cast is terrific. Plus the cinematology and the music are also perfect. So I don't know how to feel about it at all.",0.7897,Positive,Rotten Tomatoes
2024-04-24,"As a long time fan of the anime, I can say with complete certainty... That this show is not as good as many people say it is.",0.2249,Positive,Rotten Tomatoes
2024-04-22,Excellent show. The first episode didn't give me high hopes but it developed greatly. Left wanting more by the final episode.,0.5023,Positive,Rotten Tomatoes
2024-04-19,Incredible show reall felt like a very well made tribute to the anime,0.5984,Positive,Rotten Tomatoes
2024-04-15,"For any great expectations you could have One Piece is even bigger and colorful than you could thought, this is peak tv and the pirates are coming.",0.6249,Positive,Rotten Tomatoes
2024-04-13,One of the Greatest Anime Live Action Adaptations ever.,0.6369,Positive,Rotten Tomatoes
2024-03-31,"Great show, it was wild, endearing, bizarre, and entirely entertaining!",0.7419,Positive,Rotten Tomatoes
2024-03-30,I only ever heard on One Piece but never got in to it or started reading. When this came out I still didn’t even bother. But I just finished it and wauw… I loved every episode so much. Can’t wait for the other 24 seasons (I hope they will use all of the source material 😍🔥,0.8402,Positive,Rotten Tomatoes
2024-03-27,amazing series! can't wait for another season!,0.658,Positive,Rotten Tomatoes
2024-03-24,Somthing different and fun.,0.5106,Positive,Rotten Tomatoes
2024-03-13,"Just for reference, I've ever heard of One Piece before this series. I absolutely loved it!! It was so much fun and I cannot wait for the next season.",0.8539,Positive,Rotten Tomatoes
2024-03-07,Honestly the best anime live action adaptation there is. There’s just a great feeling throughout the entire show. Can’t wait for what they do with Season 2,0.9153,Positive,Rotten Tomatoes
2024-03-07,An extremely sped up version of the original story gets carried by good sets and amazing casting,0.8402,Positive,Rotten Tomatoes
2024-03-04,"As someone who watched this with no one piece knowledge I ended up loving the characters and the story. I started watching the anime and the changes and cuts they made made sense and make it easier to digest vs the anime. The costumes, writing and acting are all on point with bonus points for stuntwork and choreography.",0.7783,Positive,Rotten Tomatoes
2024-02-28,AHHHH DIDN'T EXPECT TO LOVE THIS SERIES SO MUCH,-0.5216,Negative,Rotten Tomatoes
2024-02-28,"They may have skipped a lot, but the heart of the story is there. Best live action adaptation I have seen in a long time. Well done.",0.9455,Positive,Rotten Tomatoes
2024-02-27,"First time leaving a review on RT. The show was just too good not to leave a review. Dynamic characters, cool storyline and premise, great visuals. Told my wife last night that the Last Airbender would have been way better if the creators of this show were at the helm. I haven't looked this forward to a season 2 since Stranger Things first came out.",0.9319,Positive,Rotten Tomatoes
2024-02-25,"I never read the source material. (Most of the people who are totally outraged seem to be complaining that it's not enough like the source material.) It was a good time. It was campy and cute and very anime-ish. I wouldn't call it deep, but it's fun.",0.6185,Positive,Rotten Tomatoes
2024-02-24,TERRIBLE! What a Waste of time and money! They change things unnecessarily that ruined the entire story I could care less about the waste of money they spent on sets and costumes.,-0.8642,Negative,Rotten Tomatoes
2024-02-24,"It's a Terrible show, There is no Message, there is no Characters.",-0.7579,Negative,Rotten Tomatoes
2024-02-23,Enjoyable and respects the original work.,0.7579,Positive,Rotten Tomatoes
2024-02-23,Loved the attention to detail and loved how they brought the epic panels from the source material into film.,0.8316,Positive,Rotten Tomatoes
2024-02-14,"I've never seen the source material, so I came to this fresh. Hilarious, fun, unexpectedly unique. Iñaki Godoy brilliant again.",0.9086,Positive,Rotten Tomatoes
2024-02-12,Best anime/manga adaptation to date? I think so,0.6369,Positive,Rotten Tomatoes
2024-02-12,"Coming into the show as a long time fan of the original manga and the anime, I just want to give credits to the casts. From our main Straw Hats, Inaki, Emily, Mackenyu, Taz and Jacob, to the amazing Arlong (Mckinley Belcher III), Buggy (Jeff Ward), Mihawk (Steven Ward), to Helmeppo (Aidan Scott) and Koby (Morgan Davies). They handled each role carefully and deliver the core of each characters, some are indeed stellar in comparison but none of them bringing the series down. In the era where actors who play roles in live-action making blunders during press tours, they came out well and very respectful. Eiichiro Oda involvement definitely the main point why this show works, with showrunners who actually understand the show materials. The production team, from hair and make up, to the set and the musical scores definitely did their best, glad that it shows. Is it perfect? no. It is silly, whacky, and some jokes are hit or miss, but it is fun. We all need some fun to watch in which the whole family can enjoy. As a fan, I'm not the biggest fan of the Garp switch up, but I understand why western writers feels the need to push such grit. Well, I just want to encourage people to give this show a shot because it is just a fun series to fill some weekend movie time.",0.9966,Positive,Rotten Tomatoes
2024-02-08,A good story put together with a standout cast. A great first season that can feel a bit slow at times.,0.7906,Positive,Rotten Tomatoes
2024-02-08,Amazing series and stunning characters!,0.7712,Positive,Rotten Tomatoes
2024-01-31,"My persona problem is there was a lot of good about the series, buuuut a hated Garp character. He is literally with a stick in his ass. In the anime he is laughing all the time and when is not laughing he is hitting some one, or drinking, or shout. This is a rear disorder for people in the army after a war. Either you are paranoid and think that someone is constantly trying to kill you, or the conscience and despair of what happened constantly haunts you, or you are a jovial person who has turned off other feelings and just enjoys life and especially the thrill of fighting. Garp is a crazy jolly guy who won't hesitate to kill you and his spartan training, which he takes for normal because he has post-war syndrome, is absolutely natural. Koby overacts constantly. It's like watching the Zoolander kid, one facial expression, the entire series. Chef Zeff, one of the most famous pirates of his time, gets upset when he sees Arlong and overacts in the scene with Garp. How can Kuro be a meta human and Zeff not. For Arlong They could have chosen someone bigger than an actor and Luffy wouldn't even close his eyes in fear of being bitten. It was one of the most absurd moments. The first time I saw Luffy really get scared was during the fight with Kuma if I'm not mistaken he had never freaked out like that before it was humiliating. In this scene, Arlong could have just thrown him into the sea and not taken him seriously without even realizing that he had eaten a devil fruit. Which reminds me of the scene of Luffy eating the devil fruit. I laughed so hard when in the anime Luffy steals the fruit eats it and complains that it tastes bad while eating the stolen fruit hahahaha. No, they should have cut the scene to a boring scene where he just finds a fruit eats it and that's it. No dramas no panic without his brash omnivorous behavior. It's a huge part of his character, his cheeky way of stealing other people's food, which is normal because of how he's expressed with his brothers. But what pissed me off the most was the first episode. 5 min and I was already scratching my head, what the hell is this. A flotilla of pirates, then a flotilla of Marines and no one fights, they even calmly let them watch Roger's execution. And then the pirates leave undisturbed. In the animation, the square is simply huge, and even if they wanted to, they couldn't find pirates hiding in the crowd. It would have been better if they had made a small scene with CG to make the plaza huge and also add the question ""Did you find the legendary treasure, did you find One Piece"" to make it clear that this is a legendary treasure and not just Roger's legacy. Nah, they better leave out one of the most important elements of the whole story. What was the name of this series adaptation? They Americanized it, and it pissed me off from the first episode. But if someone can refute me that my arguments are not correct, I dare!Also while reading the comments I thought of one more note. One Piece is one of the funniest series I've ever watched and I still watch it with over 1000 episodes and at least 500 of them I've watched 2 times because it makes me laugh out loud. In the adaptation, this is simply not there",-0.6261,Negative,Rotten Tomatoes
2024-01-28,"I had high hopes for this adaptation to be better. Dear Mister Matt Owens, thank you for this series. Dear Mister Eiichiro Oda, thank you for creating One Piece. Luffy is brazillian like me, and i love it. Inaki was a perfect casting, he is the REAL LIFE Luffy! For now i can't wait to see the second season. Espcially Chooper! :D",0.985,Positive,Rotten Tomatoes
2024-01-21,"I love anime, but never much cared for the One Piece cartoon. However this live action version is awesome, even my father likes it. I'd recommend this to anyone, not just anime lovers. Give it a watch, you likely won't regret it.",0.9106,Positive,Rotten Tomatoes
2024-01-17,"This is kids-only fare. Or if you really really love hand-to-hand battle sequences. We were looking for something silly and fun. Happy to overlook flaws and go with whatever works in a series. But we could barely survive the first chapter. So many tropes, executed in such a rushed cliche-d manner. It felt like the 1 minute video introduction to a computer game. So much stupidity, especially plot-wise. Such a lack of internal consistency. Couldn't take it. Could see hints of what people like: some good acting, the inappropriate ways the lead character uses his smile, the scenes from the lead's childhood worked.",0.8976,Positive,Rotten Tomatoes
2024-01-12,Great adaptation and I thought they did a fantastic job at condensing dozens of episodes of the anime into 8 episodes.,0.8271,Positive,Rotten Tomatoes
2024-01-08,It is very enjoyable even if you have not watched the anime.,0.4927,Positive,Rotten Tomatoes
2024-01-04,"AMAZINGLY GREAT! OMGAWD it is outstanding! It still is amazing to me that they are pulling this off, the material they have to work with looks impossible to adapt to live action-- but it is working!... it looks absolutely bananas crazy but they are somehow getting it to work in live action. I am utterly impressed.",0.8828,Positive,Rotten Tomatoes
2024-01-02,"It is a some new and surprising for me, pretty visual, good story, good fight scenes without lot of blood.",0.8176,Positive,Rotten Tomatoes
2023-12-31,"This show is soulless, bad story changes and ruined the important characters uniqueneness.",-0.7003,Negative,Rotten Tomatoes
2023-12-30,I decided to check out the original show after watching this series and so far this one is better,0.6369,Positive,Rotten Tomatoes
2023-12-25,"Las adaptaciones de anime hechas por EUA muchas veces no han sido del todo bien recibidas, pero en este caso parece que decidieron seguir el ejemplo del cine japonés que ha hecho adaptaciones más aferradas al material original. La serie One Piece es una estupenda serie de aventuras que, según muchos testimonios, logra replicar la visión del material original. De las adaptaciones que ha hecho Hollywood, solo las de Ghost In The Shell, Battle Angel Alita, Detective Pikachu y Speed Racer lograron replicar o acercarse a la visión del material original. Se podría decir que One Piece es una gran mejora, pero eso gracias a ciertos elementos que se tuvieron en cuenta. El autor original del manga estuvo involucrado en la creación de la serie, lo cual eso fue un factor importante. En el caso de One Piece, no era necesario que todos los actores fueran japoneses. Según las declaraciones de Eiichirō Oda, los personajes son de distintas nacionalidades y los actores escogidos para interpretar a los personajes tienen características físicas que cumplen esos requisitos. Además, las historias de piratas siempre han tenido una popularidad en el continente Europeo, aunque son algo a nivel mundial y es algo que se vio incluso reflejado en la tercera película de Piratas Del Caribe. One Piece es una historia de piratas que no se limita a los aspectos europeos de este tipo de historias, sino que también se extiende a nivel mundial, presentando varios personajes que claramente provienen de distintas naciones. La serie sé lucio bastante con la producción, el vestuario y los efectos especiales que adaptan el mundo del manga al mundo real. Con tan solo comparar los dibujos con algunas escenas de la serie, es evidente que respetaron bastante el material original. La primera temporada es solo una introducción de la serie que nos va presentando a los protagonistas Luffy, Nami, Zoro, Usopp y Sanji. Se centra en sus motivaciones, ofrece un vistazo a eventos de la infancia que los marcaron y muestra como se van desarrollando como equipo. La serie empieza bastante bien ofreciendo una muy buena introducción a las aventuras de Luffy y sus amigos en la búsqueda por el One Piece. Mi calificación final para esta temporada es un 9/10.",0.5859,Positive,Rotten Tomatoes
2023-12-23,Incredible adaptation! I loved the characters and a great story. A Very Fun Adventure!!,0.9461,Positive,Rotten Tomatoes
2023-12-21,Great adaptation of the anime all the straw hats are loveable and Buggy the clown was hilarious.,0.7783,Positive,Rotten Tomatoes
2023-12-21,"Good series, with great characters and perfect cast. The child actors looked very similar to their adult versions. The beginning of the season is a little slow, but halfway through it gets more exciting. The level of visual fidelity to the manga was surprising. Also the visual effects with computer graphics, looked super realistic. I'm excited to see how the story ends (since it looks like it won't end anytime soon in the manga).",0.9775,Positive,Rotten Tomatoes
2023-12-13,A great show that lives up to the source material,0.6249,Positive,Rotten Tomatoes
2023-12-09,"I was bored, never finished it.",-0.2732,Negative,Rotten Tomatoes
2023-12-09,"I expected nothing, god damn I got surprised.",0.3278,Positive,Rotten Tomatoes
2023-12-06,"I was sceptical at first. Well, at the first 20-30 seconds. This show is pure gold. It looks like everyone just loved the manga and the anime who was involved in this production. I never cared for One Piece somehow. Now I started to watch the anime. I hope it will run long enough to tell the whole story. This is how an adaptation should be done: With love and care.",0.9357,Positive,Rotten Tomatoes
2023-12-05,"Tolle Serie, hat Spaß gemacht, auch wenn ich die Anime Serie nie geschaut habe. Freue mich auf die 2. Staffel",-0.8316,Negative,Rotten Tomatoes
2023-12-05,I am biased. But I feel like people unfamiliar with the source material will enjoy it too.,0.7906,Positive,Rotten Tomatoes
2023-12-04,"Absolutely Brilliant Anime to Live action has seldom translated well (for the exceptional few) This adaption is so well done! it was enthralling, the direction, acting and visual effects have adapted a much-loved anime into an incredible show that those who haven't the slightest idea who Monkey.D Luffy is won't forget his name for a long, long time. He is going to be king of the pirates after all!",0.8058,Positive,Rotten Tomatoes
2023-12-02,"This is an absolute banger. I've watched this three times now, and it gets better with every viewing. I know nothing about the original anime, but I am completely in love with this series.",0.8265,Positive,Rotten Tomatoes
2023-12-01,"I tried to watch One Piece in past and never could get hooked on it, but recently I've started watching this live series and... wow. It's just crazy, amazing. You don't know what to expect in the next scene, characters are well written and awesome, the feel of adventure... Yes you get the feel of adventure like back in my kid days when watching Goonies and such. It's simply a good show. Kind of like Pirates of the Caribbean but not boring XD.",0.9902,Positive,Rotten Tomatoes
2023-12-01,One of the best live action. There really did a good job in casting and this CGI and VFX was descent. The story was a little bit rushed but it's okay. I hope we can see a second season.,0.8715,Positive,Rotten Tomatoes
2023-11-30,"It's amazing. The actors are beautiful and play their roles very well. Great script. Magnificent picture, costumes, scenery, framing. Continue, I want more.",0.9685,Positive,Rotten Tomatoes
2023-11-29,"It's a sign of how terrible US TV properties are lately that the best shows are from somewhere else - Japan and South Korea (with some Australia and China in there too) in particular. Shows from places other than the US (or UK) have a daring, a creativity that has simply been corporatized to death in the US. ""One Piece"" is such a show. It's based on a long-running comic, and then an anime series, and now a live-action -- which has *not* been beaten flat by Netflix (cheers, Netflix!) Its a bizarre, funny, and entertaining mix of all kinds of stuff, with an energy that is just ensnaring. Give it a try!",0.9172,Positive,Rotten Tomatoes
2023-11-29,"Once you go into One Piece fully expecting overexaggerated performances and wacky adventures like the manga it's adapted from, you'll have an enjoyable time tuning in.",0.7783,Positive,Rotten Tomatoes
