review_dates,reviews,Likes,vader_score_review,vader_sentiment_review,source
2026-01-13,"I really hope they put in an emphasized Luffy's climb on drum island, that's one of the few things I want to be perfect. Other than that great teaser",565,0.8832,Positive,YouTube
2026-01-12,0:58 UNLUCKIES!!!!,555,0.0,Neutral,YouTube
2026-01-12,"When Robin says Luffy's full name, it sounds almost exactly like the original, when she says it marking every syllable. This adaptation really puts attention to details.",526,0.5456,Positive,YouTube
2026-01-12,1:27 finally Nico robin 🔥🔥🔥🔥🔥,491,-0.875,Negative,YouTube
2026-01-12,"I can't believe they're actually using Vivi's hypnotic dancing, I love these writers!",490,0.6696,Positive,YouTube
2026-01-14,Garp talking like Baroque works are not like ants for him,478,0.1002,Positive,YouTube
2026-01-13,David Dasmachian as Mr.3 is some of the best casting for anything ever.,456,0.6369,Positive,YouTube
2026-01-12,0:17 David Dastmalchian as Mr 3 is something I did not expect! Polka Dot Man being Mr 3 is fitting to be fair.,454,0.3802,Positive,YouTube
2026-01-12,1:15 why didn’t they reveal who Igaram was in their IG 😭 my boi sang so damn well…,451,-0.7644,Negative,YouTube
2026-01-12,1:16 I can already see the memes with Mr. 3😂😂😂😂,445,0.891,Positive,YouTube
2026-01-13,"Wow I thought Robin snapping necks was brutal, that marine struggling to point the gun away from himself kicked it up a notch.",431,-0.6705,Negative,YouTube
2026-01-12,1:26 ROBIN CHUWAAANNNNN!!!!! 🙌❤️‍🔥💯❤️‍🔥💯❤️‍🔥💯,422,-0.811,Negative,YouTube
2026-01-14,Ingram actually has the gun hair! 😂😂😂😂,394,0.8588,Positive,YouTube
2026-01-12,0:11 damn that intro tho,373,-0.4019,Negative,YouTube
2026-01-14,That metal guitar though...no right to go that hard 🤘,368,-0.1027,Negative,YouTube
2026-01-13,Omg… the way she says “good luck”. They found the perfect Robin!!!,359,0.6784,Positive,YouTube
2026-01-12,0:48 Robin meeting the Strawhats,347,0.0,Neutral,YouTube
2026-01-12,"It's just so refreshing seeing a Netflix show with actual style. The camera angles and visual design are just so inspired.
I never even watched the anime, but this felt like a great blend between live action & animation.",326,0.9092,Positive,YouTube
2026-01-15,"""Mounki Di Lufi"" 

**Words that reach the right kidney**",325,0.0258,Neutral,YouTube
2026-01-12,"They played it safe in the first season and it was fine.
Looks like they are going full tilt into it for season 2 and im all for it",319,0.8225,Positive,YouTube
2026-01-12,Igarams scream as he fires is just perfect lol,306,0.5859,Positive,YouTube
2026-01-12,Lera looks sooo pretty as Robin!,275,0.5411,Positive,YouTube
2026-01-12,"This is definitely Netflix's best adaptation. The cast is wonderful, especially the Straw Hat crew. Lera Abova is absolutely stunning as Robin. The creators' respectful approach to the source material is truly commendable.",245,0.9606,Positive,YouTube
2026-01-12,1:25 the casting of Robin is quite hot,243,0.0,Neutral,YouTube
2026-01-14,miss all sunday looks SO GOOOOOD,237,-0.1531,Negative,YouTube
2026-01-12,0:23 Whoa! This Robin’s not messing around.,219,0.0,Neutral,YouTube
2026-01-12,0:59 I audibly gasped. They're including the Unluckies.,213,0.0,Neutral,YouTube
2026-01-12,1:16 Loguetown lightning strike 😮,201,-0.128,Negative,YouTube
2026-01-12,The fact that the same actress who played Alvida committed to weight loss to prevent recasting is awesome.,197,0.7506,Positive,YouTube
2026-01-12,"0:24 happy shes not just cracking their backs this time, that was a musket to the dome",193,0.5423,Positive,YouTube
2026-01-12,0:35 drum island luffy outfit will forever be tuff.🔥,193,-0.34,Negative,YouTube
2026-01-13,Commenting here again because Robin's actor looks so good and acted so good. She's a good actor.,192,0.8855,Positive,YouTube
2026-01-12,"I love that they're going full in on the camp for the powers and outfits... I mean if you think this looks bad then it legit means the original anime looks bad too cause ( at least visually ) those characters look spot on and if they went too serious people would whine about it anyway
Also i can't wait to see how they have Nami fight with her weather staff",185,-0.7096,Negative,YouTube
2026-01-12,0:12 another perfect intro,172,0.5719,Positive,YouTube
2026-01-12,You can't hide Karoo from us forever!,172,0.2047,Positive,YouTube
2026-01-12,miss all-sunday’s voice is just mesmerizing… i keep going back to listen to her,163,-0.1531,Negative,YouTube
2026-01-12,Gonna break Netflix record once again ❤️‍🔥,160,-0.34,Negative,YouTube
2026-01-13,Fun fact. Season two of the anime actually starts in March as well.,155,0.6597,Positive,YouTube
2026-01-12,Legends who came within 1 hour of release🤑,150,0.0,Neutral,YouTube
2026-01-12,so much waited,144,0.0,Neutral,YouTube
2026-01-12,ITS SOOO PEAK 😭,141,-0.4767,Negative,YouTube
2026-01-12,If this season ends with chopper crying his eyes out in drum island I’m going to be crying my eyes out relentlessly. Peak piece can’t believe we get to see this great story continue to be adapted.,134,-0.0836,Negative,YouTube
2026-01-14,Miss all Sunday : I want to live.....,130,-0.0772,Negative,YouTube
2026-01-12,Living the life of a Pirate!!,105,0.0,Neutral,YouTube
2026-01-12,Just finished season one of the anime lol😂,96,0.6908,Positive,YouTube
2026-01-14,"The Cat with the 2 Miniguns: “oooooooh Yeeeeeeeeeah.”

*Starts Blasting*",90,0.0,Neutral,YouTube
2026-01-12,"Netflix be like:
First look
First look no 2
Teaser
Teaser no 2
Official trailer
Official trailer no 2
Official final trailer",83,-0.5204,Negative,YouTube
2026-01-12,The adaptation looks awesome and Robin uff!,83,0.6588,Positive,YouTube
2026-01-12,"PEAK JUST dropped!
This is gonna be an interesting season",79,0.4574,Positive,YouTube
2026-01-12,Miss all sunday just too perfect,77,0.4767,Positive,YouTube
2026-01-12,"Vivi dance, robin accent, robin killing that guy, ms golden week, vivi vs nami idk what i love more and Unluckies vs sanji I'm obsessed",77,-0.3182,Negative,YouTube
2026-01-12,"Never watched one piece anime, fell in love with the live action",74,0.6369,Positive,YouTube
2026-01-12,Best anime adaptation ever,74,0.6369,Positive,YouTube
2026-01-13,I'm digging the metal BGM,72,0.0,Neutral,YouTube
2026-01-12,This is like a compilation of everything I didn’t expect them to adapt so closely to the material 🤩,71,0.3612,Positive,YouTube
2026-01-12,1:24 I'm sold with that crazy sword on fire pose.,67,-0.5859,Negative,YouTube
2026-01-12,We need Luffy's positivity and role-model leadership so much during these interesting times!,67,0.7424,Positive,YouTube
2026-01-12,This shows needs to keep going forever like the original,66,0.5859,Positive,YouTube
2026-01-12,"IGARAM AND HIS ""MAAA"" PLEASE HAHAHAHA",64,0.3182,Positive,YouTube
2026-01-12,1:26 MISS ALL SUNDAY-CWANNNN,63,-0.3254,Negative,YouTube
2026-01-12,That re-workung of the theme song is PEAK.,63,0.0,Neutral,YouTube
2026-01-12,Thé peoples Who lovés Ro-bin 💜👇🏻,62,0.6369,Positive,YouTube
2026-01-13,Two One Piece season 2s all in one year 😮,61,0.0,Neutral,YouTube
2026-01-12,We are getting spoiled with all of these trailers! I can't wait until March!,61,0.0,Neutral,YouTube
2026-01-12,How hard it is to bring the manga to such a point of accuracy!? Thank you cast and the team!!!,61,0.5053,Positive,YouTube
2026-01-13,0:32 MISS GOLDEN WEEK,59,-0.3254,Negative,YouTube
2026-01-12,The unluckies looked badass ngl,57,0.34,Positive,YouTube
2026-01-12,im sorry but robin mogs tf outta everyone holy shit,57,-0.7227,Negative,YouTube
2026-01-13,"00:22 ""dolce fleur"" the way i SCREAMED",56,-0.4648,Negative,YouTube
2026-01-12,"There are 2 types of people out there. The ones who are happy, and the ones who don't follow One Piece.",53,0.5719,Positive,YouTube
2026-01-12,"Good, now I'll take 10 more seasons",53,0.4404,Positive,YouTube
2026-01-12,"When I heard that sound at 00:25, I thought Jeff Probst was about to come out 😂",52,0.4404,Positive,YouTube
2026-01-12,omg robbin chwannn!!!!! she looking good than ever,51,0.6209,Positive,YouTube
2026-01-13,"The casting was already top notch for this live action action ❤. 
She is working as cherry on top",51,0.7783,Positive,YouTube
2026-01-13,Funfact: Robins German Voice Actor is actually Lera Abova,51,0.0,Neutral,YouTube
2026-01-15,They better not mess up the first crocus meet up,49,0.6136,Positive,YouTube
2026-01-13,Enough to make a grown man cry,49,-0.4767,Negative,YouTube
2026-01-12,If they don't keep in Smoker's ice-cream-eating-pants I'm not watching it.,49,0.0,Neutral,YouTube
2026-01-12,Lera Abova as Robin is doing things to me,47,0.0,Neutral,YouTube
2026-01-12,1:24 FLAMING ONIGIRI,45,0.0,Neutral,YouTube
2026-01-15,I keep coming back to rewatch I'm so hype!!! Can't it be march 10th already 😫,44,-0.5826,Negative,YouTube
2026-01-12,"0:34 it's Hiriluk exploding, you can see the 20 MDs in the back dressed in pink",44,0.0,Neutral,YouTube
2026-01-12,This is how you get the fanbase hyped !,41,0.0,Neutral,YouTube
2026-01-13,"robin in THE outfit though, omfg.",41,0.0,Neutral,YouTube
2026-01-13,Can't wait to binge-watch this!!!,40,0.0,Neutral,YouTube
2026-01-12,OMG Charithra looks so good as vivi!!!!,38,0.7104,Positive,YouTube
2026-01-12,The fact that they bothered putting in Mr. 13 and Miss Friday (The Otter and Vulture) really shows the love and dedecation to this project,38,-0.1119,Negative,YouTube
2026-01-16,Igaram's MA MA MA 🎵🎵🎵 is the cherry on top.,35,0.2023,Positive,YouTube
2026-01-12,1:25 flaming onigiri OMG 🔥🔥🔥🔥,35,-0.8225,Negative,YouTube
2026-01-12,About time!!! Let’s go!,33,0.0,Neutral,YouTube
2026-01-12,0:23 ROBIN-CHWAAANNNN TOO COLD😍🥶,33,0.4588,Positive,YouTube
2026-01-12,I wonder if they're going to show the hiking bear lol.,32,0.4215,Positive,YouTube
2026-01-13,"I love how they’re making it look like the baroque works are menacing. This is one of the things the live action can excel at better than the anime, in the anime they just look silly but in live action they can even be scary.",30,0.2617,Positive,YouTube
2026-01-12,Time to rewatch season 1 in preparation.,30,0.0,Neutral,YouTube
2026-01-12,Vivi doin her dance infront of Zoro 😂,29,0.4404,Positive,YouTube
2026-01-12,Straw Hats leveling up again LET’S GOOOO!! ⚔️🍖,28,0.0,Neutral,YouTube
2026-01-13,0:48 god even her voice is perfect  for the role.,28,0.7003,Positive,YouTube
2026-01-12,0:59 *The Unluckies???* These mad lads actually did it! LOL Thank you for not cutting them out of the show,27,0.6168,Positive,YouTube
2026-01-16,The one anime adaptation to live action that I can fully stand behind,27,0.0,Neutral,YouTube
2026-01-13,The One Piece Netflix adaptation has managed to keep the attention of my normie wife that only watches reality tv.  There's something to be said about that.,27,0.0,Neutral,YouTube
2026-01-14,"It feels like forever until March 10, I need this NOW",26,0.3612,Positive,YouTube
2026-01-14,Where is Karu?,26,0.0,Neutral,YouTube
2026-01-12,0:17 GALDINO!!!!,26,0.0,Neutral,YouTube
2026-01-12,"The live action really feels like a passion project at this point, everything looks good and it's going to garner more respect from the long time fans and manga only especially",25,0.9016,Positive,YouTube
2026-01-12,1:24 BRO I'M NOT READY FOR RENGOKU ONIGIRI 🥵,24,-0.3924,Negative,YouTube
2026-01-13,THE WINTER OUTFITS!!😍,24,0.555,Positive,YouTube
2026-01-13,one thing about this season is that the hate indicator decreased comparing to season 1 😂🔥🔥🔥🔥,23,-0.8555,Negative,YouTube
2026-01-12,Ooo Ms. Goldenweek is high key terrifying,23,-0.5719,Negative,YouTube
2026-01-13,0:58 te la rifaste netflix😂,23,0.4404,Positive,YouTube
2026-01-12,"0:59
The unluckies turned out actually pretty awesome here",22,0.8074,Positive,YouTube
2026-01-14,Literally whoever is in charge of the live action. Is a GOAT.  Because they could easily botch this.. but they're doing AMAZING,21,0.8401,Positive,YouTube
2026-01-12,Man y'all cooking like Taz after his classes on this one.,21,0.3612,Positive,YouTube
2026-01-12,Season 2 looks very good; I hope Nextflix keeps up the cost for the show.,21,0.7474,Positive,YouTube
2026-01-13,There will be a secret episode #9 where we discover that Alabasta is all an illusion by Baroque Works 🤣😂😂😂🎉🎉🎉,21,0.9584,Positive,YouTube
2026-01-12,that guitar slaps so hard,21,-0.2183,Negative,YouTube
2026-01-12,"Peak piece over 100 million viewers just for season 1! Best anime adaptation ever, really excited for this season. Robin looks amazing!",21,0.9057,Positive,YouTube
2026-01-14,Boroque works looks so good. All of them,21,0.5777,Positive,YouTube
2026-01-14,Bro the background music of hard rock guitar is do crazy . Netflix is cooking rn 🔥,20,-0.6369,Negative,YouTube
2026-01-12,Robin - Chwannnnnnnnnnnnn.......😍,20,0.4588,Positive,YouTube
2026-01-12,Dear Netflix... Please don't mess this up. This is very dear to us and we want you to succeed in making a good adaptation.,20,0.936,Positive,YouTube
2026-01-12,Bogard with garp always😭,19,-0.4767,Negative,YouTube
2026-01-12,1:26 armpit of robin is doing some things to me 😂😂,19,0.7003,Positive,YouTube
2026-01-12,"It honestly blows my mind how they're able to recreate all these goofy scenes without it looking like absolute crap. 

Like, sure, the casting is out of this world accurate, but this is the last manga out there I thought would look not only good, but completely amazing with real actors. Gobsmack.",19,0.6783,Positive,YouTube
2026-01-12,1:35 That’s The Release Date,18,0.0,Neutral,YouTube
2026-01-14,I don’t wanna hear ANYONE complaining about Vivi’s actress and Ingrams actor,18,-0.2023,Negative,YouTube
2026-01-16,Going to binge this and season 1 while recovering from surgery!!  AWSOME..,17,0.0,Neutral,YouTube
2026-01-12,I screamed at the Mr 13 riding miss friday OMGGGGG They did it so welll,17,-0.4404,Negative,YouTube
2026-01-12,Broo it looks so good.....and Robin swaaan....... Looks gorgeous,17,0.6124,Positive,YouTube
2026-01-14,One of the best live action adaptations EVER!,17,0.6696,Positive,YouTube
2026-01-12,"Omg it does look so good!! 
I can't wait for March 🎉",17,0.7921,Positive,YouTube
2026-01-15,0:04 Mr. 3 going T-1000 xD,15,0.5859,Positive,YouTube
2026-01-13,It all looks so perfect!! This world is so wild!!! Bravo!!!!,15,0.7851,Positive,YouTube
2026-01-12,My favorite show on Netflix at the moment. Please make many many more seasons.,15,0.6486,Positive,YouTube
2026-01-13,"Nah, I have changed my mind, Vivi is a certified baddie",15,-0.1027,Negative,YouTube
2026-01-12,1:02 Classic Sanji 😎,15,0.4588,Positive,YouTube
2026-01-14,Mark my words it's gonna be the best Netflix show ever,15,0.6369,Positive,YouTube
2026-01-12,*Can't wait for Luffy Gear 5 vs. Kaido on Season 67.*,14,0.0,Neutral,YouTube
2026-01-12,Galdino looks so waxy he’s practically glistening 😂,14,0.4404,Positive,YouTube
2026-01-12,Dude Robin looks gorgeous as hell,13,-0.1531,Negative,YouTube
2026-01-12,"Glad to see Robi- un, Miss All-Sunday has found her way to this group. After all, no one is born in this world to be alone.",13,-0.2023,Negative,YouTube
2026-01-12,We’re going to the Grand Line with this one! ⚓️,13,0.5093,Positive,YouTube
2026-01-12,zoro swords are burning 🔥🔥,12,-0.5859,Negative,YouTube
2026-01-12,Lera as Robin ❤❤❤❤ she's so beautiful,12,0.9719,Positive,YouTube
2026-01-12,1:06 Luffy’s shirt 🥶,12,0.0,Neutral,YouTube
2026-01-12,Zoro 1 v 100 is going to be crazy😂😂😂😂😂😂😂,12,0.9509,Positive,YouTube
2026-01-12,robin 🥺🥺🥺,12,0.0,Neutral,YouTube
2026-01-12,THE CASTING IS PERFECT. PERFECT,12,0.8126,Positive,YouTube
2026-01-15,This is Absolute cinema 📽️ by only seeing the teaser I can say that it will be greatest,11,0.4939,Positive,YouTube
2026-01-12,"I've said it once, I'll say it a million times. The casting for the live-action One Piece is soo damn spot on, its truly a joyous and wonderful time watching. Haters gonna hate no matter what, so I choose to give this series and the actors all the support they most certainly deserve.",11,0.752,Positive,YouTube
2026-01-13,"Charithra Chandran, Sophia Anne Caruso, David Dastmalchian... this cast is so peak",11,0.0,Neutral,YouTube
2026-01-12,Ms All Sunday will be my Ms Everyday ❤❤❤,10,0.9274,Positive,YouTube
2026-01-12,My mom will be traveling for work by the time this season comes out. Gotta wait so we can watch this together.,10,0.0,Neutral,YouTube
2026-01-12,Filmed in my city cape town south africa we the real life one piece,10,0.0,Neutral,YouTube
2026-01-14,"Mulan live action: yeah a dragon would've been to unrealistic
One Piece live action: and then the guy sings opera when he shoots we also brought the otter riding a bird with gattling guns",10,0.296,Positive,YouTube
2026-01-12,David looks amazing!,10,0.6239,Positive,YouTube
2026-01-12,Fuckin love the Guitar in the Back.,10,0.6697,Positive,YouTube
2026-01-12,"Как же я жду. Я возлагаю большие ожидания на этот сезон. Робин потрясающе выглядит, я от неё без ума",10,0.0,Neutral,YouTube
2026-01-12,Wait...is this a series or a movie? damn....the quality level up 🙌,10,0.0,Neutral,YouTube
2026-01-18,Showing Robin straight up murdering small fry is pretty on point,10,-0.0516,Negative,YouTube
2026-01-12,"🖐️ 😤🖐️ Absolute CINEMA 
Really hyped to see Zoro Vs Luffy at whiskey Peak!",9,0.7712,Positive,YouTube
2026-01-14,"i didn't see Laboon in here, but i really hope he is there too",9,0.6474,Positive,YouTube
2026-01-12,THIS LOOKS SO DAMN GOOD. I'm so excited for Season 2!!!,9,0.4316,Positive,YouTube
2026-01-14,Nico Robin casting was just PERFECT!!!!!,9,0.765,Positive,YouTube
2026-01-12,Wow miss all Sunday looks incredible,9,0.4939,Positive,YouTube
2026-01-14,hearing doce fleur with a french accent gave me life,9,0.0,Neutral,YouTube
2026-01-14,it's been 2 days but I can't stop rewatching this over and over,9,0.3252,Positive,YouTube
2026-01-13,NAH I DEADASS JUST SEARCHED ONE PIECE CAUSE I WAS BORED AND I SEE THIS,9,-0.3612,Negative,YouTube
2026-01-13,"Knowing how limited Robin's scenes this season, she’s basically carrying the promo and I’m all for it.",9,-0.2263,Negative,YouTube
2026-01-12,The quality is insane omfg,9,-0.4019,Negative,YouTube
2026-01-12,"Yo, Luffy using the wax as a hammer, I was hoping they'd adapt that.
And Sanji's reaction to the Unluckies XD",9,0.8091,Positive,YouTube
2026-01-12,"If you look closely at 0:05, you will see Mr. 3's hair get cut. So, the 3 at the top is just CGI :(",8,-0.4939,Negative,YouTube
2026-01-12,That Mr. 13 cosplaying Polkadot Guy tho,8,0.0,Neutral,YouTube
2026-01-12,ONE PEAK,8,0.0,Neutral,YouTube
2026-01-12,Did I just hear the survivor horn?,8,0.3612,Positive,YouTube
2026-01-13,Baroque works is already scarier than S5 Vecna,8,0.0,Neutral,YouTube
2026-01-12,"From the legendary ""Eiichiro Oda""! 
I still vividly remember reading the first chapter of One Piece as a child.  
I'm so glad to be experiencing this, and I hope I'll still be alive when the manga ends!",8,0.8735,Positive,YouTube
2026-01-12,I wasn't ready for that,8,-0.2755,Negative,YouTube
2026-01-12,Netflix putting the work in for this live action and we love this !!!,8,0.7249,Positive,YouTube
2026-01-13,THIS GONNA HIT CRAZY,8,-0.34,Negative,YouTube
2026-01-12,Miss All-Sunday is so cool 😭❤,7,0.4986,Positive,YouTube
2026-01-13,Is this Soundtrack music somewhere already or an extended version or something? This... is... epic 🫠🫠🫠,7,0.0,Neutral,YouTube
2026-01-12,Where is Karoo?😭,7,-0.4767,Negative,YouTube
2026-01-12,David Dastmalchian looks🕯as Galdino aka Mr. 3!!!,7,0.0,Neutral,YouTube
2026-01-12,ol booger flicker is back,7,0.0,Neutral,YouTube
2026-01-12,Live action Miss All Sunday is gorgeous ❤,7,0.8225,Positive,YouTube
2026-01-12,This is gonna be so PEAK!!!,7,0.0,Neutral,YouTube
2026-01-12,Holy this looks incredible. Zoro's flaming Oni Giri looks so fire 🔥 (pun intended). 0:25 Robin has never done that to any marine making them shoot themselves but it fits,6,-0.557,Negative,YouTube
2026-01-13,Vivi looks so beautiful 😍,6,0.8508,Positive,YouTube
2026-01-12,"Everybody in Baroque Works looks great. Especially Mr. 5 and Miss. Valentine at 1:17, love those two.


And holy cats; they actually adapted Mr. 13 and Miss. Friday?!",6,0.8122,Positive,YouTube
2026-01-13,0:41 Kuma will take you on.....,6,0.0,Neutral,YouTube
2026-01-12,Igaram's Maaaa~ 🤩😁,6,0.4588,Positive,YouTube
2026-01-15,I'm glad they didn't give Nico Robin DDDD chest - she needs to be a normal person,6,0.4588,Positive,YouTube
2026-01-13,Robin is freakin Gorgeous!,6,0.6476,Positive,YouTube
2026-01-14,"Man she really does justice to Miss All Sunday, she's beautiful and perfect for the role",6,0.8928,Positive,YouTube
2026-01-14,I love that they're including little garden in this,6,0.6369,Positive,YouTube
2026-01-12,Omg I can’t wait for this show man. It gonna be sooooooooo good.,6,0.4404,Positive,YouTube
2026-01-12,Gem flicking a booger.  Lol   It’s so fast I didn’t even notice on my first watch,6,0.4215,Positive,YouTube
2026-01-12,いつも動画を倍速で見ちゃうのにスロー再生でこんなに何回も動画見たの初めて！最高楽しみ,6,0.0,Neutral,YouTube
2026-01-16,Vivi looks perfect! Love it <3,6,0.902,Positive,YouTube
2026-01-15,"Alabasta is one of the best arcs, you guys are in for a treat",6,0.7845,Positive,YouTube
2026-01-18,How many times have you watched this trailer? YES.,6,0.5319,Positive,YouTube
2026-01-12,"0:00 - Teaser Starts
1:49 - Teaser Ends",6,-0.4588,Negative,YouTube
2026-01-13,0:36 Namiswannnnn!!!!! 1:26 Robin-chan!!!!! 🥵😍,6,0.6331,Positive,YouTube
2026-01-12,00:28 I guess they already started foreshadowing that there might be connection between Miss Goldenweek and IMU  ;),6,0.0772,Positive,YouTube
2026-01-15,Can't wait to see bonclay❤,6,0.6369,Positive,YouTube
2026-01-12,"Just me: 1:23 its so evident he's using rope to jump, he didn't even hit and both of em fell. All their actions feels so unreal. Zoro with his sword, all his moves looks so artificial and abrubpt, almost like he's trying to just pose. Still how come no one is mentioning this. I'm just curious, I didn't like the action sequesces of S1 as well. Is this because I've watched original one piece so many times??",6,0.6068,Positive,YouTube
2026-01-12,"Nico Robin looks so ""semlohe"" 😍",6,0.507,Positive,YouTube
2026-01-13,"Why TF are Vivi and Igaram Indian? In the anime they are white but clearly from an Arabic/North African nation called ""Arabasta"" with her father the king named ""Nefertari"" which is an ancient Egyptian name. But Netflix just chose actors with Indian heritage cuz diversity? Stay true to the manga and screw your wokeness!",5,0.8075,Positive,YouTube
2026-01-14,they niggerfied vivi,5,0.0,Neutral,YouTube
2026-01-12,"I thought the whole Baroque Works arc was pretty boring until Alabasta, but this trailer makes me hope that the show will improve upon it and make it more exciting.  Still can't wait for my boy Crocodile",5,0.9311,Positive,YouTube
2026-01-13,This is Cinema,5,0.0,Neutral,YouTube
2026-01-12,"0:40
Everything looks good but damn that table slice looks awful lol",5,-0.4404,Negative,YouTube
2026-01-14,Netflix just make a movie at this point in theaters. Take all our money 😂,5,0.4404,Positive,YouTube
2026-01-12,"This trailer really nailed the ""Welcome to the Grand Line"" vibe.",5,0.7402,Positive,YouTube
2026-01-12,This is one of the best live adaptation of fiction,5,0.6369,Positive,YouTube
2026-01-16,canno't wait for this!!!!!,5,0.0,Neutral,YouTube
2026-01-12,ITS SO PEAK!,5,0.0,Neutral,YouTube
2026-01-13,"1:26 ""Good Luck""

🗣️: Yes Mommy!",5,0.8356,Positive,YouTube
2026-01-16,trash compared to the real show,5,0.0,Neutral,YouTube
2026-01-12,Race swaps left and right,5,0.0,Neutral,YouTube
2026-01-12,setting sails with THE crew,5,0.0,Neutral,YouTube
2026-01-13,"This honestly looks so good, I'm letting myself get excited. This is so camp and so cool. 🤞🤞The people complaining about actor choice don't deserve the show, this trailer brings joy, if it's like this I'm in",5,0.944,Positive,YouTube
2026-01-12,"This is the best trailer for either season, hands down. Looks like they're cutting less manga content than s1 if the Unluckies made it in!",5,0.7574,Positive,YouTube
2026-01-12,The intro music is badass.,5,0.34,Positive,YouTube
2026-01-12,I know some people don’t watch anime or manga so thank you Netflix and Oda for adapting and continuing this phenomenal story to a even wider audience. Superb adaptation can’t wait to see Zoro Vs Luffy 🔥🏴‍☠️,5,0.7133,Positive,YouTube
2026-01-15,why they turning white characters to black actors its not accurate and I am not a racist hell I am even black and this still feels off,5,0.7835,Positive,YouTube
2026-01-14,I need that song on amazon music or anywhereelse to listen on the go in endless loop.....,5,0.1779,Positive,YouTube
2026-01-12,アンラッキーズ🔥,5,-0.34,Negative,YouTube
2026-01-12,So freaking hyped!!!,5,-0.6084,Negative,YouTube
2026-01-17,I can't wait for this!!!!!!,4,0.0,Neutral,YouTube
2026-01-14,THE ONE PIECE IS REAL,4,0.0,Neutral,YouTube
2026-01-15,Mackenyu Ahhhhh 😄,4,0.6705,Positive,YouTube
2026-01-13,1:15 ma MA MAAAAAAAAAAAA,4,0.0,Neutral,YouTube
2026-01-13,LET’S GOOOOOOO,4,0.0,Neutral,YouTube
